name,sku,price,category,weight,description
Wireless Bluetooth Headphones,SKU-25244,164.18,Electronics,3.0,"Ideal for home, office, and travel needs."
Ergonomic Office Chair,SKU-54848,389.85,Furniture,4.98,Compact design with reliable functionality.
Stainless Steel Water Bottle,SKU-61687,49.02,Kitchen,0.29,Compact design with reliable functionality.
Organic Cotton T-Shirt,SKU-72596,259.99,Clothing,0.3,Crafted with high-quality materials for long-lasting performance.
Mechanical Gaming Keyboard,SKU-68419,368.0,Electronics,7.01,Premium quality product designed for everyday use.
Ceramic Coffee Mug,SKU-14381,263.77,Kitchen,4.98,Crafted with high-quality materials for long-lasting performance.
Smart LED Desk Lamp,SKU-27269,175.32,Electronics,1.62,Durable and lightweight with a modern finish.
Wooden Study Table,SKU-29790,48.23,Furniture,7.28,Premium quality product designed for everyday use.
Leather Travel Backpack,SKU-32265,408.18,Accessories,5.65,Premium quality product designed for everyday use.
Portable Phone Charger,SKU-57965,224.96,Electronics,4.56,"Ideal for home, office, and travel needs."
Minimalist Wall Clock,SKU-74948,410.4,Home Decor,5.36,"Ideal for home, office, and travel needs."
Running Sports Shoes,SKU-66581,53.43,Footwear,8.0,Compact design with reliable functionality.
Noise Cancelling Earbuds,SKU-26596,341.48,Electronics,2.39,Crafted with high-quality materials for long-lasting performance.
Non-Stick Frying Pan,SKU-23312,87.55,Kitchen,7.39,Crafted with high-quality materials for long-lasting performance.
Classic Denim Jacket,SKU-66979,380.86,Clothing,3.68,Compact design with reliable functionality.
Adjustable Dumbbell Set,SKU-74812,72.52,Fitness,2.29,Crafted with high-quality materials for long-lasting performance.
Hardcover Notebook,SKU-86507,417.04,Stationery,1.26,"Ideal for home, office, and travel needs."
Smart Fitness Watch,SKU-94941,164.36,Electronics,4.42,Compact design with reliable functionality.
Bamboo Cutting Board,SKU-27034,434.02,Kitchen,7.52,"Ideal for home, office, and travel needs."
Foldable Camping Tent,SKU-17179,366.67,Outdoor,6.42,"Ideal for home, office, and travel needs."
Gaming Mouse Pad,SKU-83627,268.14,Electronics,1.88,Crafted with high-quality materials for long-lasting performance.
Glass Storage Containers,SKU-80648,201.51,Kitchen,5.92,Crafted with high-quality materials for long-lasting performance.
Electric Toothbrush,SKU-35607,87.17,Personal Care,5.8,Premium quality product designed for everyday use.
Portable Mini Speaker,SKU-27019,321.68,Electronics,5.11,Crafted with high-quality materials for long-lasting performance.
Canvas Laptop Sleeve,SKU-28400,102.19,Accessories,6.2,Premium quality product designed for everyday use.
