name,sku,price,weight,description
Wireless Ergonomic Mouse,ELEC-MSE-098,49.99,0.15,Ergonomic wireless mouse with adjustable DPI and rechargeable battery.
Mechanical Keyboard,ELEC-KBD-442,89.50,0.85,Tactile mechanical keyboard with customizable RGB backlighting and blue switches.
USB-C Hub 8-in-1,ELEC-HUB-511,35.00,0.09,Multi-port adapter featuring 4K HDMI, USB 3.0, SD card reader, and Power Delivery.
27-inch 4K Monitor,ELEC-MON-873,299.99,4.50,Ultra HD IPS display with thin bezels and adaptive sync technology.
Standing Desk Converter,OFFC-DSK-102,149.00,12.30,Height-adjustable dual-monitor riser that sits on top of your existing desk.
Ergonomic Mesh Chair,OFFC-CHR-205,189.99,15.00,High-back office chair with adjustable lumbar support and 3D armrests.
Stainless Steel Water Bottle,SPRT-BTL-301,24.50,0.35,Double-walled vacuum insulated bottle that keeps drinks cold for 24 hours.
Resistance Bands Set,SPRT-BND-302,18.99,0.45,Set of 5 natural latex bands with different resistance levels, handles, and door anchor.
Organic Cotton Hoodie,CLTH-HDD-401,55.00,0.60,Ultra-soft unisex fleece pullover made from 100% certified organic cotton.
Smart LED Light Strip,HOME-LGT-501,29.99,0.25,Wi-Fi enabled RGB color changing strip compatible with smart home voice assistants.
